Numero	Descrizione	Note
1	Cereali contenenti glutine	Grano, segale, orzo, avena, farro, kamut e derivati
2	Crostacei	E prodotti a base di crostacei
3	Uova	E prodotti a base di uova
4	Pesce	E prodotti a base di pesce
5	Arachidi	E prodotti a base di arachidi
6	Soia	E prodotti a base di soia
7	Latte	E prodotti a base di latte, lattosio incluso
8	Frutta a guscio	Mandorle, nocciole, noci, anacardi, pistacchi, noci di macadamia
9	Sedano	E prodotti a base di sedano
10	Senape	E prodotti a base di senape
11	Semi di sesamo	E prodotti a base di semi di sesamo
12	Anidride solforosa e solfiti	In concentrazioni superiori a 10 mg/kg o 10 mg/l
13	Lupini	E prodotti a base di lupini
14	Molluschi	E prodotti a base di molluschi
