CodiceTipoAttivita	Codice	Descrizione	Tipo	Fase	PerOgniAttrezzaturaTipo	Reparto	Grandezza	UnitaMisura	LimiteMin	LimiteMax	Frequenza	OrarioAtteso1	OrarioAtteso2	AzioneCorrettiva	RichiedeFoto	RichiedeFirma	ParametroRichiesto	Ordine
RC	RIC-01	Temperatura merce refrigerata in accettazione	CCP	ricevimento		CUC	temperatura	C	0	4	ad evento			Oltre +6 respingere la merce e annotare sul DDT. Fra +4 e +6 accettare con riserva, utilizzare entro 24 ore e segnalare al fornitore. Aprire non conformita.	Si	No		10
RC	RIC-02	Temperatura merce congelata in accettazione	CCP	ricevimento		CUC	temperatura	C	-30	-15	ad evento			Oltre -12 respingere: il prodotto ha subito scongelamento parziale. Non ricongelare mai. Aprire non conformita e informare il fornitore.	Si	No		20
RC	RIC-03	Integrita imballo, etichettatura, lotto e scadenza	CP	ricevimento		CUC	visivo				ad evento			Respingere i colli danneggiati o privi di lotto e scadenza. Per i prodotti di origine animale verificare il bollo CE del fornitore.	Si	No		30
RC	RIC-04	Pulizia e idoneita del mezzo di trasporto	PRP	ricevimento		CUC	visivo				ad evento			Se il vano e sporco o promiscuo, respingere e segnalare per iscritto al fornitore. Se si ripete, riesaminare la qualifica del fornitore.	No	No		40
RC	CON-01	Temperatura frigorifero	CCP	conservazione	frigorifero		temperatura	C	0	4	due volte al giorno	08:00	18:00	Trasferire la merce in un altro frigorifero, verificare guarnizioni e carico, chiamare il manutentore. Valutare il destino degli alimenti in base al tempo e alla temperatura raggiunta.	No	No		100
RC	CON-02	Temperatura cella pesce	CCP	conservazione		CEP	temperatura	C	0	2	due volte al giorno	08:00	18:00	Rinnovare il ghiaccio, spostare il prodotto, chiamare il manutentore. Il pesce fresco fuori limite va valutato e in caso eliminato.	No	No		110
RC	CON-03	Temperatura congelatore	CCP	conservazione	congelatore		temperatura	C	-30	-18	due volte al giorno	08:00	18:00	Se fra -18 e -15 consumare rapidamente e monitorare ogni ora. Sopra -15 con segni di scongelamento, eliminare. Non ricongelare mai.	No	No		120
RC	CON-04	Temperatura e stato del magazzino secco	PRP	conservazione		MAG	temperatura	C	0	25	settimanale			Arieggiare, verificare infiltrazioni e umidita. Scartare i prodotti con imballo deformato o rigonfio.	No	No		130
RC	CON-05	Separazione crudo cotto e ordine nelle celle	PRP	conservazione		CUC	visivo				giornaliera			Riorganizzare i ripiani: cotti in alto, crudi in basso, tutto coperto e identificato. Formare di nuovo il personale se si ripete.	No	No		140
RC	CON-06	Controllo scadenze e prodotti aperti	CP	conservazione		CUC	visivo				giornaliera			Eliminare lo scaduto registrandolo. Etichettare i prodotti aperti con data di apertura e scadenza secondaria.	No	No		150
RC	SCO-01	Scongelamento in frigorifero	CP	conservazione		CUC	temperatura	C	0	4	ad evento			Mai scongelare a temperatura ambiente o sotto acqua corrente calda. Il prodotto scongelato non si ricongela: si cuoce entro 24 ore.	No	No		200
RC	COT-01	Temperatura al cuore in cottura	CCP	cottura		CUC	temperatura	C	75		ad evento			Proseguire la cottura fino al raggiungimento. Equivalenti ammessi: 70 gradi per 2 minuti, 65 gradi per 10 minuti. Non servire prodotti sotto limite.	No	No		300
RC	ABB-01	Temperatura al termine del raffreddamento rapido	CCP	abbattimento	abbattitore	CUC	temperatura	C		10	ad evento			Se sopra +10, prolungare il ciclo. Se il tempo di 2 ore e gia trascorso, il prodotto va eliminato: la finestra fra +65 e +10 e quella di moltiplicazione.	No	No	Abbattimento	310
RC	ABB-02	Durata del ciclo di raffreddamento rapido	CCP	abbattimento	abbattitore	CUC	tempo	minuti		120	ad evento			Oltre 120 minuti da +65 a +10 il prodotto si elimina. Ridurre lo spessore delle porzioni e non sovraccaricare l abbattitore.	No	No	Abbattimento	320
